Metaphor;SubMetaphor;DOI;ByHand;OtherLink
African Buffalo;NA;10.1155/2016/1510256;NA;NA
Algae;NA;10.1016/j.asoc.2015.03.003;NA;NA
Amoeba;NA;10.1155/2014/271280;NA;NA
Anarchic societies;NA;10.5923/j.eee.20120204.05;NA;NA
Animal Behavior;Hunting;10.1080/00207543.2013.871389;NA;NA
Animal Behavior;Migration;10.1016/j.cageo.2011.12.011;NA;NA
Animal Behavior;Predation;10.1142/S021962201450031X;NA;NA
Animal Behavior;Searching;10.1109/TEVC.2009.2011992;NA;NA
Ants;NA;NA;"A. Colorni, M. Dorigo, V. Maniezzo, ""Distributed Optimization by Ant Colonies"", Proceedings of the European Conference on Artificial Life, pp.134-142, 1991.";http://faculty.washington.edu/paymana/swarm/colorni92-ecal.pdf
Ant Lion;NA;10.1016/j.advengsoft.2015.01.010;NA;NA
Antibodies;NA;NA;"L.N. de Castro, F.J. von Zuben. ""The clonal selection algorithm with engineering applications."" Proceedings of the Genetic and Evolutionary Computation Conference (GECCO'2000), pp. 36-39. 2000.";https://scholar.google.com.br/scholar?cluster=7215188449257401709&hl=en&as_sdt=0,5
