"Metaphor","SubMetaphor","Title","Year","Author","Where.pub","Is.journal","DOI","Citations.doi","Citations.count"
"African Buffalo",NA,"Solving the Traveling Salesman's Problem Using the African Buffalo Optimization",2016,"Julius Beneoluchi Odili; Mohd Nizam Mohmad Kahar","Computational Intelligence and Neuroscience",TRUE,"10.1155/2016/1510256",10.1155/2016/1510256,  28
"Algae",NA,"Artificial algae algorithm ({AAA}) for nonlinear global optimization",2015,"Sait Ali Uymaz; Gulay Tezel; Esra Yel","Applied Soft Computing",TRUE,"10.1016/j.asoc.2015.03.003",10.1016/j.asoc.2015.03.003,  99
"Amoeba",NA,"A Bio-Inspired Method for the Constrained Shortest Path Problem",2014,"Hongping Wang; Xi Lu; Xiaoge Zhang; Qing Wang; Yong Deng","The Scientific World Journal",TRUE,"10.1155/2014/271280",10.1155/2014/271280,   9
"Amoeba","Plasmodium","Remarkable problem-solving ability of unicellular amoeboid organism and its mechanism",2018,"Liping Zhu; Song-Ju Kim; Masahiko Hara; Masashi Aono","Royal Society Open Science",TRUE,"10.1098/rsos.180396",10.1098/rsos.180396,  10
"Anarchic Society",NA,"Anarchic Society Optimization Based {PID} Control of an Automatic Voltage Regulator ({AVR}) System",2012,"H. Shayeghi; J. Dadashpour","Electrical and Electronic Engineering",TRUE,"10.5923/j.eee.20120204.05",10.5923/j.eee.20120204.05,  37
"Andean Condors",NA,"Andean Condor Algorithm for cell formation problems",2018,"Boris Almonacid; Ricardo Soto","Natural Computing",TRUE,"10.1007/s11047-018-9675-0",10.1007/s11047-018-9675-0,   6
"Anglerfish",NA,"The Anglerfish algorithm: a derivation of randomized incremental construction technique for solving the traveling salesman problem",2018,"Mei F. Pook; Effirul I. Ramlan","Evolutionary Intelligence",TRUE,"10.1007/s12065-018-0169-x",10.1007/s12065-018-0169-x,   3
"Animal Behavior","Hunting","Mathematical models and a hunting search algorithm for the no-wait flowshop scheduling with parallel machines",2014,"B. Naderi; Majid Khalili; Alireza Arshadi Khamseh","International Journal of Production Research",TRUE,"10.1080/00207543.2013.871389",10.1080/00207543.2013.871389,   8
"Animal Behavior","Predation","Prey-Predator Algorithm: A New Metaheuristic Algorithm for Optimization Problems",2015,"Surafel Luleseged Tilahun; Hong Choon Ong","International Journal of Information Technology & Decision Making",TRUE,"10.1142/s021962201450031x",10.1142/s021962201450031x,  41
"Animal Behavior","Searching","Group Search Optimizer: An Optimization Algorithm Inspired by Animal Searching Behavior",2009,"S. He; Q.H. Wu; J.R. Saunders","IEEE Transactions on Evolutionary Computation",TRUE,"10.1109/tevc.2009.2011992",10.1109/tevc.2009.2011992, 446
